ImmutableMultiDict([('phrase', 'gagarin'), ('letters', 'a')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a']
ImmutableMultiDict([('phrase', 'jordan'), ('letters', 'n')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['n']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'a')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a']
ImmutableMultiDict([('phrase', 'rammmstein'), ('letters', 'mea')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a', 'e', 'm']

ImmutableMultiDict([('phrase', 'gogi'), ('letters', 'g')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['g']
ImmutableMultiDict([('phrase', 'lolik'), ('letters', 'l')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['l']
ImmutableMultiDict([('phrase', 'ukraine'), ('letters', 'uk')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['k', 'u']
ImmutableMultiDict([('phrase', 'goggi'), ('letters', 'g')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['g']
ImmutableMultiDict([('phrase', 'yyyyyyyyyyyy'), ('letters', 'y')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['y']
ImmutableMultiDict([('phrase', 'kilometr'), ('letters', 'o')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['o']
ImmutableMultiDict([('phrase', 'goggihloho'), ('letters', 'o')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['o']
ImmutableMultiDict([('phrase', 'bobbi'), ('letters', 'b')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['b']
ImmutableMultiDict([('phrase', 'yyyyyyyyyyyy'), ('letters', 'y')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['y']
ImmutableMultiDict([('phrase', 'yyyyyyyyyyyy'), ('letters', 'y')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['y']
ImmutableMultiDict([('phrase', 'kilo'), ('letters', 'k')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['k']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'a')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***a - 5, 
ImmutableMultiDict([('phrase', 'goggi'), ('letters', 'g')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***g - 3, 
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'asbr')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***a - 5, b - 2, r - 2, s - 1, 
ImmutableMultiDict([('phrase', 'yyyyyyyyyyyy'), ('letters', 'y')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['y-12']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'anb')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a-5', 'b-2', 'n-1']
ImmutableMultiDict([('phrase', 'holliwood'), ('letters', 'howd')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['d-1', 'h-1', 'o-3', 'w-1']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'aeiou')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a-5', 'e-0', 'i-0', 'o-0', 'u-0']
ImmutableMultiDict([('phrase', 'bobbi'), ('letters', 'b')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['b-3']
ImmutableMultiDict([('phrase', 'holliwood'), ('letters', 'ow')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['o-3', 'w-1']
ImmutableMultiDict([('phrase', 'nostalgy'), ('letters', 'oay')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a-1', 'o-1', 'y-1']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'aeiou')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a-5', 'e-0', 'i-0', 'o-0', 'u-0']
ImmutableMultiDict([('phrase', 'yyyyyyyyyyyy'), ('letters', 'y')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['y-12']
ImmutableMultiDict([('phrase', 'goggi'), ('letters', 'g')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['g-3']
ImmutableMultiDict([('phrase', 'santabarbara'), ('letters', 'aeiou')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['a-5', 'e-0', 'i-0', 'o-0', 'u-0']
ImmutableMultiDict([('phrase', 'holliwood'), ('letters', 'ow')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['o-3', 'w-1']
ImmutableMultiDict([('phrase', 'bobbi'), ('letters', 'b')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['b-3']
ImmutableMultiDict([('phrase', 'kilommmm'), ('letters', 'm')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['m-4']
ImmutableMultiDict([('phrase', 'senator'), ('letters', 'e')])***127.0.0.1***Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36***['e-1']
